ID;Name;Bezirk;Strasse;PLZ;Stadt;Startdatum;Enddatum;Eintritt;URL;Google-Adresse
45;Weihnachtsmarkt Jannowitzbrücke und Alexanderplatz;Mitte;Voltairestraße 25;10179;Berlin;01.12.2012;23.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/1018390-1328132-zwischenjannowitzbr%C3%BCckeundalexanderplat.html;Voltairestraße 25, 10179 Berlin, Deutschland
46;Weihnachts- und Umweltmarkt am Koppenplatz;Mitte;Koppenplatz;10115;Berlin;15.12.2012;16.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/1001302-1328132-weihnachtsundumweltmarktindersophienstra.html;Koppenplatz, 10115 Berlin, Deutschland
47;Holy.Shit.Shopping - Weihnachtsmarkt;Mitte;Straße der Pariser Kommune 8;10243;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/1305903-1328132-holy-shit-shopping-design-weihnachtsmark.html;Straße der Pariser Kommune 8, 10243 Berlin, Deutschland
48;Adventsmarkt in den Heckmannhöfen;Mitte;Heckmannhöfe, Oranienburger Straße 32;10117;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/2118965-1328132-adventsmarkt-in-den-heckmannhoefen.html;Heckmannhöfe, Oranienburger Straße 32, 10117 Berlin, Deutschland
49;Mittelalterlicher Weihnachtsmarkt am Gutshof zu Schloss Britz;Neukölln;Alt-Britz 73;12359;Berlin;15.12.2012;26.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/neukoelln/1305778-1328136-mittelalterlicherweihnachtsmarktamgutsho.html;Alt-Britz 73, 12359 Berlin, Deutschland
50;Adventsbasar in Neu-Buckow;Neukölln;Marienfelder Chaussee 66-72;12349;Berlin;01.12.2012;01.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/neukoelln/1321777-1328136-adventsbasarinneubuckow.html;Marienfelder Chaussee 66-72, 12349 Berlin, Deutschland
51;Rudower Adventsmeile;Neukölln;Alt-Rudow 1;12357;Berlin;08.12.2012;09.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/1305982-955635-rudoweradventsmeile.html;Alt-Rudow 1, 12357 Berlin, Deutschland
52;Britzer Adventsmarkt;Neukölln;Backbergstr. 38;12345;Berlin;02.12.2012;02.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/neukoelln/1304747-1328136-britzeradventsmarkt.html;Backbergstr. 38, 12345 Berlin, Deutschland
53;Alt - Rixdorfer Weihnachtsmarkt;Neukölln;Richardplatz 28;12055;Berlin;07.12.2012;09.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/neukoelln/1001438-1328136-historischerweihnachtsmarkt.html;Richardplatz 28, 12055 Berlin, Deutschland
54;Alt-Buckower Adventsmarkt;Neukölln;Alt-Buckow 2;12349;Berlin;01.12.2012;02.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/neukoelln/1304481-1328136-altbuckoweradventsmarkt.html;Alt-Buckow 2, 12349 Berlin, Deutschland
55;Weihnachtsrodeo - Designweihnachtsmarkt;Pankow;Stadtbad Oderberger Straße,  Oderberger Str. 57;10435;Berlin;08.12.2012;09.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/pankow/2178781-1328139-weihnachtsrodeo-designweihnachtsmarkt.html;Stadtbad Oderberger Straße,  Oderberger Str. 57, 10435 Berlin, Deutschland
56;Adventsmarkt St. Elisabeth-Stift;Pankow;Eberswalder Str. 17;10437;Berlin;01.12.2012;01.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/pankow/2806629-1328139-elisabethstift.html;Eberswalder Str. 17, 10437 Berlin, Deutschland
57;Weihnachtsmarkt Schönhauser Allee Arcaden;Pankow;Schönhauser Allee 78-80;10439;Berlin;26.11.2012;24.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/pankow/2806617-1328139-arcaden.html;Schönhauser Allee 78-80, 10439 Berlin, Deutschland
58;Lucia Weihnachtsmarkt in der Kulturbrauerei;Pankow;Schönhauser Allee 36;10435;Berlin;26.11.2012;23.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/pankow/971171-1328139-luciaweihnachtsmarktinderkulturbrauerei.html;Schönhauser Allee 36, 10435 Berlin, Deutschland
59;Adventsmarkt am Kollwitzplatz;Pankow;Husemannstr. 1;10435;Berlin;02.12.2012;23.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/pankow/971805-1328139-adventsmarktkollwitzplatz.html;Husemannstr. 1, 10435 Berlin, Deutschland
60;Blankenburger Weihnachtsfest;Pankow;Dorfanger Blankenburg, Alt-Blankenburg;13129;Berlin;02.12.2012;02.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/pankow/2178294-1328139-blankenburger-weihnachtsfest.html;Dorfanger Blankenburg, Alt-Blankenburg, 13129 Berlin, Deutschland
61;Weihnachtsmarkt auf dem Kinderbauernhof Pinke-Panke;Pankow;Am Bürgerpark 15;13156;Berlin;08.12.2012;08.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/pankow/1322079-1328139-weihnachtsmarktaufdemkinderbauernhofpink.html;Am Bürgerpark 15, 13156 Berlin, Deutschland
62;Weihnachtsmarkt der Sinne;Pankow;Blankenfelder Str. 106;13127;Berlin;01.12.2012;01.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/pankow/1321981-1328139-weihnachtsmarktdersinne.html;Blankenfelder Str. 106, 13127 Berlin, Deutschland
63;"Weihnachtsmarkt ""Buch trifft Musik""";Pankow;Kesselhaus, Schönhauser Allee 36;10435;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/pankow/2171991-1328139-weihnachtsmarkt-buch-trifft-musik.html;Kesselhaus, Schönhauser Allee 36, 10435 Berlin, Deutschland
64;Weihnachtsmarkt in den Hallen Am Borsigturm;Reinickendorf;Am Borsigturm 2;13507;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/reinickendorf/1001524-1328154-weihnachtsmarktindenhallenamborsigturm.html;Am Borsigturm 2, 13507 Berlin, Deutschland
65;Weihnachtsmarkt im „Clou“;Reinickendorf;Kurt-Schumacher-Platz 1;13405;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/reinickendorf/1001505-1328154-weihnachtsmarktimclou.html;Kurt-Schumacher-Platz 1, 13405 Berlin, Deutschland
66;Weihnachtsmarkt vor der Johanneskirche Frohnau;Reinickendorf;Zeltinger Platz 18;13465;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/reinickendorf/2805858-1328154-30-weihnachtsmarkt-in-der-lindenkirche.html;Zeltinger Platz 18, 13465 Berlin, Deutschland
67;Advent im Forstamt Tegel;Reinickendorf;Forstamt Tegel, Ruppiner Chaussee 78;13503;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/reinickendorf/2163475-1328154-wildschwein-und-reh-aus-dem-berliner-wal.html;Forstamt Tegel, Ruppiner Chaussee 78, 13503 Berlin, Deutschland
68;Kunsthandwerklicher Weihnachtsmarkt in Frohnau;Reinickendorf;Zeltinger Platz 1;13465;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/reinickendorf/1304788-1328154-kunsthandwerklicherweihnachtsmarktinfroh.html;Zeltinger Platz 1, 13465 Berlin, Deutschland
69;Adventsbasar der Kirchengemeinde Lübars;Reinickendorf;Evangelische Kirchengemeinde Lübars, Alt-Hermsdorf 35;13469;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/reinickendorf/1305304-1328154-adventsbasarderkirchengemeindel%C3%BCbars.html;Evangelische Kirchengemeinde Lübars, Alt-Hermsdorf 35, 13469 Berlin, Deutschland
